"Tail_Number","YEAR","YEAR_MFR","AGE","AIR_TIME","FLIGHTS_ANNUAL","FLIGHTS","DISTANCE","TOT_CARRIER_DELAY","TOT_LATE_AIRCRAFT_DELAY","COUNT_CARRIER_DELAY","COUNT_LATE_AIRCRAFT_DELAY","CARRIER_DELAY_30","LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_DELAY_30","COUNT_LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_CANCELLATION","STATE","REGION","TYPE_AIRCRAFT","TYPE_ENGINE","TYPE_REGISTRANT","CARRIER_DELAY_30_RATIO","COUNT_CARRIER_DELAY_30_RATIO","LATE_AIRCRAFT_DELAY_30_RATIO","COUNT_LATE_AIRCRAFT_DELAY_30_RATIO","TOTAL_DELAY_RATE","Proportion_Cancelled"
"75854",2019,2002,17,3057857,989,16770,24125562,4604,12223,146,139,3259,11583,58,68,1,"IL","C",5,5,3,3.29524772497472,0.0586450960566229,11.7118301314459,0.0687563195146613,0.127401415571284,5.96302921884317e-05
"75854",2020,2002,18,3145139,504,17274,24812977,1296,1204,21,17,1186,1067,9,9,0,"IL","C",5,5,3,2.3531746031746,0.0178571428571429,2.11706349206349,0.0178571428571429,0.0357142857142857,0
"75854",2021,2002,19,3286382,814,18088,25924450,4367,6946,85,83,3466,6414,33,44,0,"IL","C",5,5,3,4.25798525798526,0.0405405405405405,7.87960687960688,0.0540540540540541,0.0945945945945946,0
"75854",2022,2002,20,3418954,725,18813,26975057,4604,5406,91,61,3915,5070,38,30,0,"IL","C",5,5,3,5.4,0.0524137931034483,6.99310344827586,0.0413793103448276,0.0937931034482759,0
"75854",2023,2002,21,3603333,980,19793,28446140,4343,6656,146,87,2971,6083,62,35,0,"IL","C",5,5,3,3.03163265306122,0.063265306122449,6.20714285714286,0.0357142857142857,0.0989795918367347,0
"75854",2024,2002,22,3662640,305,20098,28906608,2058,2934,40,37,1688,2761,16,18,0,"IL","C",5,5,3,5.5344262295082,0.0524590163934426,9.05245901639344,0.059016393442623,0.111475409836066,0
"75858",2004,2004,0,150701,932,932,1185349,1256,4692,59,95,655,3841,21,47,0,"IL","C",5,5,3,0.702789699570815,0.0225321888412017,4.12124463519313,0.0504291845493562,0.0729613733905579,0
"75858",2005,2004,1,350189,1160,2092,2751345,3099,4660,79,98,2483,3747,41,48,0,"IL","C",5,5,3,2.14051724137931,0.0353448275862069,3.2301724137931,0.0413793103448276,0.0767241379310345,0
"75858",2006,2004,2,547735,1162,3254,4283729,3105,7198,111,143,2105,5930,46,62,0,"IL","C",5,5,3,1.81153184165232,0.0395869191049914,5.10327022375215,0.0533562822719449,0.0929432013769363,0
"75858",2007,2004,3,748409,1110,4364,5858421,2038,5546,73,108,1284,4676,26,49,0,"IL","C",5,5,3,1.15675675675676,0.0234234234234234,4.21261261261261,0.0441441441441441,0.0675675675675676,0
"75858",2008,2004,4,938658,1068,5432,7344392,4709,6063,124,106,3471,5173,55,51,0,"IL","C",5,5,3,3.25,0.051498127340824,4.8436329588015,0.047752808988764,0.099250936329588,0
"75858",2009,2004,5,1118866,1017,6449,8756430,3961,3892,90,69,3101,3321,37,38,0,"IL","C",5,5,3,3.04916420845624,0.0363815142576204,3.26548672566372,0.0373647984267453,0.0737463126843658,0
"75858",2010,2004,6,1272578,822,7271,9966868,3084,1975,63,40,2497,1551,28,16,0,"IL","C",5,5,3,3.03771289537713,0.0340632603406326,1.88686131386861,0.0194647201946472,0.0535279805352798,0
"75858",2011,2004,7,1434636,874,8145,11241757,3868,2976,85,64,2988,2435,32,28,0,"IL","C",5,5,3,3.4187643020595,0.0366132723112128,2.78604118993135,0.0320366132723112,0.068649885583524,0
"75858",2012,2004,8,1561269,724,8869,12242711,4131,3434,106,64,3048,2883,40,23,0,"IL","C",5,5,3,4.20994475138122,0.0552486187845304,3.98204419889503,0.031767955801105,0.0870165745856354,0
